Date,amount,Purchase,Category,Link
9/18/14,8500,lexis nexis,Routine,17635.pdf
9/18/14,18272.33,Cell phone service,Routine,17638.pdf
9/23/14,102269.79,Car Rentals,Routine,17642.pdf
9/24/14,5811.5,Lexis Nexis,Routine,17643.pdf
10/6/14,15182.78,Cell phone service,Routine,17668.pdf
10/15/14,8500,lexis nexis,Routine,17678.pdf
10/20/14,5886,Cell phone service,Routine,17681.pdf
10/21/14,18493.96,Cell phone service,Routine,17688.pdf
10/24/14,21926.44,Cell phone service,Routine,17698.pdf
10/24/14,137171.67,Cell phone metadata,Surveillance,17699.pdf
11/3/14,104265,Car Rentals,Routine,17710.pdf
11/4/14,15123.81,Cell phone service,Routine,17711.pdf
11/20/14,8500,lexis nexis,Routine,17732.pdf
11/24/14,102644.73,Car Rentals,Routine,17737.pdf
11/25/14,15064.12,Cell phone service,Routine,17741.pdf
12/1/14,389823.46,HIDTA distribution,Routine,17748.pdf
12/2/14,24238.92,Cell phone service,Routine,17755.pdf
12/12/14,5960,Narcotics Field Testing Kit,Routine,17763.pdf
12/12/14,5894.25,Lexis Nexis,Routine,17765.pdf
12/17/14,13994.47,car repair and seizure,Routine,17767.pdf
12/17/14,104811.75,Car Rentals,Routine,17769.pdf
1/2/15,7190,Narcotics Field Testing Kit,Routine,17772.pdf
1/5/15,19015.98,Cell phone service,Routine,17789.pdf
1/5/15,15032.37,lexis nexis,Routine,17790.pdf
1/6/15,8500,lexis nexis,Routine,17792.pdf
1/6/15,48012,Computers,Routine,17795.pdf
1/15/15,5811.5,lexis nexis,Routine,17811.pdf
1/22/15,8500,lexis nexis,Routine,17820.pdf
1/23/15,106382.11,Car Rentals,Routine,17827.PDF
2/3/15,5716,Lexis Nexis,Routine,17844.pdf
2/4/15,15221.37,Cell phone service,Routine,17849.pdf
2/6/15,19408.89,Cell phone service,Routine,17851.pdf
2/9/15,19980.55,School prevention programs,Routine,17852.pdf
2/11/15,5884,"""Clear services"" subscription",Unknown,17864.pdf
2/18/15,15083.17,Cell phone service,Routine,17870.pdf
2/23/15,104790.78,Car Rentals,Routine,17876.pdf
3/3/15,8500.25,Lexis Nexis,Routine,17882.pdf
3/12/15,19644.76,"""Realinfo accounts""",Unknown,17889.pdf
3/18/15,8500,Lexis Nexis,Routine,17906.pdf
3/19/15,7193.58,Unknown,Unknown,17911.pdf
3/23/15,15087.78,Cell phone service,Routine,17914.pdf
4/1/15,106650.04,no foia response,Unknown,
4/3/15,11418,no foia response,Unknown,
4/10/15,19570.16,no foia response,Unknown,
4/20/15,8500,no foia response,Unknown,
4/24/15,15102.49,no foia response,Unknown,
4/27/15,103033.08,no foia response,Unknown,
5/4/15,18048.79,no foia response,Unknown,
5/6/15,5631,no foia response,Unknown,
5/12/15,9283.96,no foia response,Unknown,
5/13/15,6000,no foia response,Unknown,
5/20/15,8500,Lexis Nexis,Routine,18022.pdf
5/20/15,9018.67,Computers,Routine,18025.pdf
6/1/15,105749.29,Car Rentals,Routine,18028.pdf
6/1/15,15167.46,Cell phone service,Routine,18037.pdf
6/1/15,5940,Cell phone metadata,Surveillance,18040.pdf
6/3/15,19570.16,Cell phone service,Routine,18071.pdf
6/3/15,5808,Lexis Nexis,Routine,18074.pdf
6/15/15,665950.75,Finance Division check request,Unknown,18087.pdf
6/15/15,6299.4,??? of St Petersburg FL,Unknown,18088.pdf
6/15/15,136375,Cell Site Simulator,Surveillance,18089.pdf
6/19/15,8500,Lexis Nexis,Routine,18331.pdf
6/19/15,6834.09,Narcotics Destruction,Routine,18093.pdf
6/22/15,15504.01,Cell phone service,Routine,18097.pdf
6/24/15,5705.75,Lexis Nexis,Routine,18106.pdf
7/1/15,108794.29,Car Rentals,Routine,18108.pdf
7/9/15,6174.55,"??????????  ""narcotics related investigations""???",Unknown,18120.pdf
7/10/15,5154.9,Cameras,Surveillance,18123.pdf
7/16/15,8616.01,Computers,Routine,18132.pdf
7/16/15,5411.2,Computers,Routine,18134.pdf
7/20/15,61771.34,Cell phone service,Routine,18147.pdf
7/20/15,14980.25,Cell phone service,Routine,18142.pdf
7/20/15,8500,Lexis Nexis,Routine,18144.pdf
7/27/15,20447.5,Cell phone service,Routine,18155.pdf
8/3/15,6344.2,Cameras,Surveillance,18163.pdf
8/12/15,5815,Lexis Nexis,Routine,18184.pdf
8/17/15,108495.66,Car Rentals,Routine,18189.pdf
8/19/15,8500,Lexis Nexis,Routine,18192.pdf
8/19/15,5843,Lexis Nexis,Routine,18193.pdf
